All 8 fixes from 78.txt applied and build passes.
Summary of changes:
Fix	File	What changed
1a	core/bootstrap/system_entry.ts	startCareerNavigator no longer throws on double-init (HMR-safe)
1b	main.tsx	Profession registered BEFORE boot; startCareerNavigator wrapped in try/catch
1c+7	professions/profession_registry.ts	registerProfession silently returns on double-register; hasProfession already existed
1d	screens/OnboardingScreen/OnboardingScreen.tsx	handleFinish has try/catch + console.log for debugging
2c	screens/JourneyScreen/JourneyScreen.tsx	handleCompleteTask skips createTaskFromDefinition if no definition, wraps submitTask in try/catch
4	App.tsx	Onboarding renders FIRST (before notes/playbook); onComplete clears hash; loading div uses dark bg
5	core/skill_state.ts	STATE_FLOW.locked → 'awareness' (not null)
6	core/runtime/journey_runtime.ts	Entry node unlock uses ?? profession.skillGraph[0]?.id fallback
8	core/runtime/runtime_controller.ts	getActiveNode() reads from runtimeState.nodeStates, removed unused getProfession import
Already satisfied (no action needed): Fix 2a/2b imports/types were correct, Fix 3 (no module-level startOnboarding), Fix 4's onHashChange mount-time read was already present.
